Produto,media_valor_vendido,media_peso_vendido,quantidade_vendas,quantidade_clientes,saldo_kg,preco_sugerido
9225,8288.01,222.24,28,18,93.54,47.59
11705,107746.6,1755.89,2,2,0,849.36
1465,4156.76,138.97,13,11,0,65.06
10659,3996.53,176.1,19,15,14963.4,56.23
4865,10247.94,493.8,10,9,9194.8608,2382.08
11817,6726,118,1,1,0,86.17
11693,146121.3,7493.4,5,1,14815,39.58
2390,2481.17,50.28,152,106,5640.138,19.62
12476,25096.82,682.5,10,9,0,41.32
11749,20034,742,1,1,0,42.1
10885,17173.8,510,2,2,0,58.95
8480,1834.51,261,6,6,849,28.25
1637,1727.84,174.19,18,13,3984.222,26.87
90070,16530.77,414.43,21,10,2154,28.17
1873,3888.73,30.49,21,5,2880.38128,63.29
11825,12902.5,397,1,1,0,36.86
3803,14171.37,607.93,10,9,3184.401,2838.64
90157,1050.28,35.25,4,3,217,26.64
4663,1164.21,146.68,10,6,2008.3206,274.7
11941,20125,575,2,1,0,46.43
4938,2710.44,76.37,17,13,8123.9364,90.04
8635,1087.5,29,1,1,0,65.55
776,2456.3,110.52,20,17,26.4,48.8
11548,10999.64,320.6,5,5,0,49.89
4600,2288.26,61.92,22,16,1081.2,333.78
2610,5476.05,95.76,9,7,45.3594,421.74
2033,16794.6,345,1,1,0,150.9
4583,4403.46,74.01,38,33,3211.2366,231.29
554,29865.73,636,3,2,0,67.06
9878,1080,24,1,1,0,80.67
11877,19750.8,604,1,1,0,54.53
7467,1219.86,26.93,1,1,0,71.35
7873,5999.6,239.84,15,11,690.228,29.04
6313,10517.57,33,15,13,119.4746,95.21
541,19494.66,236.17,13,11,2264.2,80.45
4775,1907.97,42.21,3,3,126.624,385.33
157,7524.69,196.77,69,47,5728.9296,235.08
11891,2826,78.5,1,1,0,56.68
9063,15053.5,1172.5,4,4,0,26.93
11963,50160,1520,1,1,0,47.55
3833,6126.79,253.87,77,38,470,54.63
11155,6840,71.39,2,1,0,563.23
1306,486,12.79,1,1,0,207.2
10996,3714.9,478.5,4,3,83,27.12
10470,4571.5,188.23,22,14,2563.55,27.4
6677,3412.23,9.78,6,4,0,58.31
9557,1223.6,42.33,6,4,54,48.24
6390,657.92,92.96,37,28,0,48.07
7537,4865.11,137.92,25,13,2162.9,48.8
7697,4205.17,86.35,12,10,26.7,48.8
82721,23247.08,109.65,32,20,186.702,47.03
6109,29850,1194,1,1,50.136,36.21
6123,2204.4,65.92,5,3,1454.8884,284.05
83843,59530.09,353.97,10,10,2042.82428,2414.97
8582,16524,3005.67,3,1,0,44.06
11696,111960.3,5209.33,6,3,46,27.25
11979,50592,2108,4,2,0,33.39
12002,82648,3443.67,3,1,0,31.83
11939,2923.95,101,1,1,0,48.28
11937,3380.79,291.07,46,26,335,29.3
11997,13058,499,3,2,0,38.99
11917,23941.2,562,2,1,0,72.24
12031,3879.66,102.12,35,29,2616,45.63
5846,3354.47,103.65,30,13,4160.43,31.11
2124,6755.53,194.93,26,20,18.3,61.06
1473,19813.2,474,2,1,0,43.16
10191,7198.71,1407,8,6,3808,26.78
10337,37702.93,876.97,98,45,12454,26.73
11922,130004.65,3813.75,4,1,2336,30.35
11958,4261.25,175,1,1,0,39.23
651,1691.94,109.29,20,16,2923.8816,201.45
10801,4638.4,467.5,2,2,0,27.18
920,4962.18,312,85,53,115,29.28
10600,2663.95,222.64,19,14,3114.65,27.4
2179,5962.8,150.19,1,1,0,60.83
1462,7382.67,169.81,17,14,0,206.29
12064,6174,343,2,1,0,33.05
12065,35165,1470.5,2,2,0,47.38
9045,8059.84,94.5,6,3,80,51.23
2599,17503.92,414,1,1,0,150.9
12117,1453.06,21.4,1,1,0,62.52
10970,834.41,176.02,17,11,185.578,28.53
3187,3701.6,126.59,37,31,1873.5552,133.88
2057,2859.57,51.62,15,5,534.3666,25.42
2001,228318.57,5523.24,17,1,161603,48.39
11167,192099.61,4303.4,5,1,0,41.32
1076,1343.53,28.05,19,17,991.5486,53.43
10626,26889.41,977.2,20,11,3995,31.13
83540,1856.29,7.71,7,4,37.6188,61.75
11025,790.32,25.3,1,1,1403.928,85.64
3949,11189.4,195.75,10,5,0,158.17
5785,4299.31,102.4,6,6,869,83.91
12128,160073.35,3505,1,1,0,45.67
11330,203000.02,4860,5,1,0,38.76
11169,264313.87,5193.29,7,1,28217,41.32
4215,1516.8,47.18,3,3,0,230
1256,87709.77,1731,1,1,0,65.75
12059,3105,115,1,1,0,51.78
12093,125572,6188.67,3,2,0,34.11
12236,11292.06,287.67,3,1,0,44.21
11564,5835.08,291.33,6,4,0,43.79
5460,150.48,6,1,1,0,19.47
1030,5047.83,113.56,4,3,59.9928,33.08
7807,806.73,38.33,3,3,384,30.19
12238,9990,540,1,1,0,31.81
11240,1861.1,74,1,1,0,26.73
12480,10602.26,287.11,57,40,76,41.32
3090,4622.85,115.73,39,29,1447.7778,234.57
12136,1736.28,52,1,1,0,33.39
12137,3505.95,105,1,1,0,33.39
1742,831.96,19,1,1,0,307.7
1602,2803.41,121.06,71,44,3847,48.24
3377,6274.18,620.71,48,30,235,29.13
10396,10553.7,277,1,1,0,63.79
3810,66426.44,1203.74,7,7,0,3177.82
82770,2706.4,85.53,8,5,234.33,75.69
83625,4344.78,28.7,5,5,95.2722,146.91
8967,2021.04,52.55,1,1,0,33.02
12152,1.87,1.87,1,1,0,47.1
10741,22883.97,889.38,24,10,884,29.13
12477,191531.72,9668.58,43,2,168750,42.42
12291,1474.92,18,1,1,0,53.76
83853,61919.9,387.45,3,3,757.532375,2593.01
12283,18393.6,338.14,1,1,0,1221.88
3118,1989.86,46.43,2,2,0,75.17
2566,1495.27,110.49,16,9,3467.1,54.95
12269,16548,300,1,1,0,46.15
11351,1566.01,821.4,5,4,1260,42.39
11631,20388.43,627.22,9,7,592,26.73
1341,1499.6,42.56,77,56,1008.228,46.31
10743,53219.44,1731,9,1,0,26.97
12429,5312.27,167,1,1,0,45.13
9260,4644.26,247.5,2,2,0,45.13
83581,565.08,23.9,9,7,568.656,134.55
1615,1172.4,23.19,1,1,0,187.76
10482,14889.69,281.8,5,4,0,59.37
12303,11114.64,172,1,1,0,63.13
10441,2552,116,1,1,723,29.13
1732,5232.44,46.83,3,1,0,97.19
12342,4342.72,164,1,1,0,32.71
12330,30056,1445,1,1,0,29.27
12332,9984,480,1,1,0,29.27
8927,8349.68,236,1,1,0,57.06
12395,3.9,3.9,1,1,0,1.5
10774,7792.26,422.35,4,2,432.168,69.73
8655,3528,35.24,4,3,16.2864,85.41
10699,6422,274,3,2,0,32.24
12447,119760,4990,1,1,0,41.15
3993,264479.28,5276,5,1,91401,46.42
83578,2316.6,14.14,6,5,2935.0248,100.32
10086,17810.5,938,2,1,0,27.29
6898,2271.8,91.62,25,9,1913.7978,31.11
12563,8536.5,271,2,1,0,41.32
12534,19140,573,2,1,1139,51.3
4861,4120.76,85.72,42,22,1659.2928,30.06
12517,1215,45,2,1,0,47.89
3147,895.8,13.35,1,1,0,106.64
12576,155750.4,9984,1,1,0,28
12484,1684.8,48,1,1,0,55.14
10323,4533.3,366.44,9,5,1626,46.09
12519,20556.25,687.5,2,1,0,42.76
12497,120125.41,2983,2,1,0,69.34
10448,4488.43,31.82,12,7,0,114.49
12578,23356.2,1162,1,1,0,32.04
12452,922.5,12.3,1,1,0,89.37
12455,36636.75,857,1,1,0,70.03
12369,2262,88,3,2,0,46.97
8896,6545,136.75,4,3,0,27.85
8701,3570,210,1,1,0,30.78
11067,36051.12,644,1,1,0,55.98
3783,1781.2,61,1,1,0,150.9
2370,19200,489.9,1,1,0,79.3
899,3351.29,93.93,187,115,11529.444,48.57
6050,1992.02,54.71,1677,912,21239.68,50.01
572,7633.46,410.46,90,61,3496,27.37
2235,7010.37,214.47,169,109,1121.4228,86.07
4296,2588.78,127.88,228,107,168.4,34.61
1385,2326.97,57.8,203,112,2724.273,18.14
2055,3425.57,104.3,353,199,10255.182,42.63
5110,5378.55,218.33,230,101,5106.528,35.61
83646,4848.33,26.39,25,15,2379.5055025,194.34
6130,3545.31,96.63,469,276,11715.55,46.3
8159,4964.56,291.81,35,22,2973.861,208.52
523,53074.28,1240.69,32,25,56,52.08
6170,4502.92,124.11,666,392,578.95,46.3
2333,4225.75,148.7,293,185,23884.7598,173.72
2553,5145.87,188.68,472,266,18129.07912,304.08
901,2761.13,72.31,324,196,7376.4108,58.72
2801,7396.31,198.87,158,106,3154.095,237.38
7530,2699.45,90.71,313,209,5412.1,48.8
7550,3069.02,71.09,52,38,2349.6,48.8
7750,4229.19,108.57,110,81,1463.2,48.8
11652,26887,1169,2,1,0,38.77
881,9610.26,475.57,181,87,6830,28.99
5071,1554.77,70.42,312,155,5907.3912,12.38
1280,2171.01,51.99,293,190,4182.408,17.13
8860,268444.4,5381.75,4,1,0,67.26
5070,2024.78,79.57,245,101,4522.896,10.5
10480,3255.98,158.57,29,13,5.5,27.4
11637,10290,490,1,1,0,35.16
1836,2202.5,175.29,384,174,5988.05,32.96
5075,2289.57,108.91,339,128,3179.4396,10.62
7084,1731.9,35.81,179,123,64.5,62.93
3584,2775.45,70.85,118,59,2077.55,32.42
7565,2294.98,83.42,93,59,4365,48.8
6330,5426.44,222.01,40,31,62.95,46.3
11622,16495.1,409.3,25,19,7523,30.42
535,2465.82,86.08,464,218,7704.205,32
648,6732.19,165.46,45,27,4779.8604,53.24
897,5263.62,102.71,242,146,0,38.4
2268,4410.91,182.52,163,116,19021.872,194.19
9100,8781.81,216.93,369,252,12294.55,47.59
8446,6089.41,230.56,170,63,5469.8706,29.66
5863,7138.3,298.56,386,132,87354.3277338,45.21
1135,6144.13,281.29,164,83,5235,30.35
11977,7976.71,435.99,340,185,3967.8,44.58
8628,304256.77,8093,5,1,0,29.91
9010,2403.85,61.89,607,378,0,50.38
2264,1305.36,27.79,34,22,158.9076,20.2
1261,2142.29,175.24,16,14,80.736,52.93
570,3152.68,93.69,248,121,7653.9828,77.22
1205,2547.58,144.35,45,20,3784.8384,59.63
11105,229579.1,6295.1,20,3,34349,40.34
1641,136686.07,5104.14,11,1,10982,26.73
6866,3333.46,157.6,206,91,11365.6662,21.87
90,5938.78,124.72,136,74,8901.9624,48.59
7240,5650.2,70.42,78,46,2279.02,48.8
7638,732.36,17.81,4,3,0.75,48.8
463,14744.33,476.69,680,339,11835,42.42
4221,6834.6,145.06,37,23,0,133.21
1690,304545.25,6032.5,10,1,18435,45.63
905,6629.06,158.85,242,163,8961.5916,99.51
5001,3566.57,123.72,108,45,2802.8988,26.08
8533,8694.18,308.19,126,47,5947.6032,50.85
8767,13460.4,654.63,57,32,468,26.93
717,2111.82,87.09,11,10,1313.7408,194.27
82849,1953.54,132.02,64,48,4856.178492,142.05
2119,4090.52,119.17,59,43,1714,49.23
10676,3303.37,89.48,8,8,2323.2,83.91
82632,2384.88,19.29,56,35,0,33.12
4330,1064.49,30.4,35,17,248.3898,72.36
83574,2604.66,16.49,4,4,170.05374,152.21
466,6351.76,36.58,11,9,254.904,48
3511,3929.89,144.91,81,21,2664.948,6.15
132,2554.65,80.29,92,55,5313.4368,63.71
83511,4372.39,23.18,46,33,240.20096,38.21
5072,1364.43,69.02,106,63,2360.9424,14.99
2260,3034.92,112.21,166,94,17371.626,125.38
1905,869.92,61.84,36,19,802.872,13.57
1310,1211.94,28.49,134,80,354.948,27.26
10460,4344.56,171.81,95,32,1027.6,27.4
7867,1406.82,68.85,90,43,4050.5868,17.16
3736,4233.08,212.95,199,70,2531.8,34.61
3737,6762.96,217.5,131,56,2594,34.61
5845,4604.11,116.26,93,64,3005.736,153.41
10738,3873.34,227.44,56,25,9879.9894,24.03
83531,4580.49,26.28,62,40,81.24096,57.15
8862,13449.25,358.24,33,16,789,67.26
9226,7908.3,106.61,22,20,0,47.59
83509,927.08,14.25,53,31,13.81315,32.17
8451,29141.98,1151.85,85,26,22247.7444,34.64
11152,2480.92,52.07,13,11,2.6544,25.99
8161,1958.58,64.34,61,32,937.4784,10.62
70,1532.77,75.7,39,19,1441.4976,35.18
479,23149.26,664.41,29,24,0,47.26
390,3302.13,226.03,160,75,7515.0504,31.09
1032,13422.38,248.49,161,97,5806.0032,409.37
2111,3281.85,62.41,32,21,0,71.53
2626,3894.07,134.14,54,36,1557.0126,230.23
11609,55959.9,1030,1,1,0,65.45
8452,4955.94,161.48,128,47,1428.0084,41.33
3138,1073.76,83.69,18,13,705.744,64.07
9250,22752.34,326.03,4,4,55.61,48.21
538,7859.56,76.69,65,33,0,172.12
814,1707.25,89.76,117,56,2378.0142,20.66
10840,4652.42,234.3,72,46,5630.9,27.4
11649,6519.84,204,1,1,0,54.68
5131,3648.9,236.97,73,41,792.477,107.2
500,4054.99,116.27,212,103,6226.584,48.57
1467,6618.08,192.22,11,11,0,155.22
11983,8218.01,285.76,75,56,3783.13,46.42
11602,15295.26,518.75,4,3,0,42.94
4513,10080.9,112.66,80,61,4284.336,186.22
8154,1117.8,27,1,1,0,69.15
2311,2375.69,92,26,23,1719.9378,140.31
210,2829.9,160.55,11,9,1698.165,160.73
8780,21057.9,1171.2,60,20,2079,29.4
9960,37557.39,914.5,18,18,3989,53.08
82629,3040.25,20.1,43,27,1086.6918976,43.31
82653,4483.62,51.34,71,39,331.524498,52.38
10610,10604.38,219.99,5,3,74.009,28.51
7888,5460.98,295.55,29,21,5885.4666,155.34
6510,4001.02,87.13,9,8,213.05,52.93
4484,4220.2,95,44,31,1723.644,96.38
2796,193376.39,5518.55,11,1,24298,29.11
9228,2553.19,93.69,17,14,19.3,48.21
4051,5680.45,59.4,24,16,467.2512,82.31
2309,4526.1,110.12,28,13,2517.7824,36.87
1998,6186.69,126.47,99,69,2819.8884,77.22
5005,7230.41,350.05,98,34,3882.5136,26.35
8978,26138.92,1248.44,25,20,314,27.37
11641,43398.23,1530.33,3,2,0,40.33
3670,15704.18,409.46,92,62,3974.4138,1600.12
3515,2365.49,49.99,31,19,1267.8768,36.98
83860,46457.94,342.22,8,7,0,3678.53
11684,23428.96,536.5,4,1,0,60.94
1006,9701.23,203.01,16,14,94.8,47.59
11645,64412.66,1534,1,1,0,67.46
9106,2653.16,118.6,105,62,6472.7208,29.33
83567,4676.09,29.64,38,28,667.04756,101.34
11686,73686.24,1531.5,2,2,0,63.79
11533,7513.41,53.5,2,2,0,119.28
5436,4896.63,114.64,61,32,3250.3464,39.69
1632,5695.86,160.72,51,11,1710.072,46.52
5029,4586.78,182.63,55,38,3530.6784,132.96
3860,1831.29,55.6,26,19,2149.0488,26.48
1646,4141.36,77.03,79,53,223.1712,21.6
4921,10607.38,289.74,55,31,5531.1936,52.55
4937,6948.15,233.74,18,12,729.2688,66.12
1366,1171.26,81.34,37,19,3697.596,29.22
83672,9826.19,191.32,25,18,558.20772,350.27
83591,9380.18,111.14,27,19,210.63504,112.7
10950,11648.21,340.29,43,31,82,27.4
82671,4802.14,31.94,40,34,555.80124,98.3
10612,249693.72,6657.8,5,1,27451,26.73
11678,32922.25,725,1,1,0,51.49
2492,259345.71,4873.67,15,1,10682,43.79
11681,11796,170.15,1,1,0,102.88
4902,2777.81,108.81,129,66,4961.3082,31.51
6194,4734.15,216.96,63,37,2163.5,32
4922,15272.13,234.29,49,28,4753.914,71.44
5143,8542.71,250.78,17,14,504.8676,286.61
11735,3785.71,186.41,104,52,521,48.39
8402,10321.81,210.06,16,13,138,51.02
83658,7618.61,53.84,11,4,289.652,139.81
11788,0.07,7,1,1,0,52.39
6899,10233.98,172.71,36,22,2574.528,68.94
715,2310.97,117.99,173,93,11612.088,153.41
10450,4577.61,197.23,39,21,3484.5,27.4
11036,12791.81,629.12,25,15,18,30.42
90003,3502.64,132.92,25,21,2090,34.94
11360,7857.48,322.27,82,48,2224,39.02
11750,110328.3,2779.75,4,1,0,42.1
10592,58087.1,2187.82,11,1,12224,26.54
5653,835.73,18.55,66,48,568.95,77.95
10944,252860.98,5829.82,11,1,37507,39.8
88,2067.07,123.12,74,40,7358.3004,39.26
1846,2023.5,75.03,7,4,475.4424,26.06
8028,47337.61,2477.6,29,7,5107.152,23.52
4907,1089.82,88.16,34,20,1870.5096,36.91
1892,2743.49,172.93,63,36,5960.736,41.1
1870,586.6,23.78,6,3,5688.45,61.06
148,2451.36,89.3,27,17,1706.3976,131.69
9934,2347.92,24.74,1,1,0,546.96
11593,10288.2,260,2,1,0,60.63
1559,15357.89,392.85,12,12,1443.73502,1316.81
11695,19839.49,451,1,1,0,61.51
4887,5813.54,276.8,49,13,2889.81,19.57
1113,4453.59,65.71,35,23,224.3904,111.45
3370,1161.66,61.98,73,47,2705.55,32.42
934,23625.14,2509.5,2,2,18,30.35
6160,6546.11,141.8,166,115,119.45,46.3
2973,3068.99,353.89,74,47,8216,54.63
11902,45612.5,2225,1,1,0,26.73
1321,2689.12,84.31,55,28,1671.7194,59.64
9062,17011.64,831.1,10,6,0,27.12
9026,6783,176.75,4,4,0,84
10723,5982,33.7,1,1,0,124.2
11714,20748,228,1,1,0,37.82
11669,24761.45,657.5,2,1,57,56.94
1178,2268.88,93.17,60,42,4536.5112,54.4
10306,23074.3,860,2,2,0,27.37
83602,4701.68,31.34,37,30,15.25504,161.43
4897,1217.85,65.83,33,22,1531.602,28.77
9195,139014.04,2222,2,1,0,4181.1
6770,154.28,96.82,12,11,14.65,56.23
10953,338868.26,7156,6,1,274,42.71
10336,3562.41,320.5,34,23,634,26.73
11054,2130,60,1,1,0,42.42
11786,323.4,7,1,1,0,52.39
11844,23002.1,1664.5,2,1,0,43.11
4911,1766.54,70.92,20,10,1622.4384,45.84
14400,16391.16,362,16,15,0,65.75
11848,47747.78,2009.25,4,3,0,35.13
10510,3861.48,194.7,20,12,31.95,27.4
5452,124710.4,5034.75,4,1,22406,26.73
4821,7678.35,126.13,15,13,749.637,434.57
2036,161.92,15.28,4,3,31.95,46.3
9150,41620.84,2014.43,49,28,4393,26.73
10483,15084,588.17,6,1,0,29.11
83573,3016,17.83,16,10,38.487165,121.1
3563,2156.52,80.31,73,39,1025.892,23.38
6415,2716.46,30.63,12,9,0,88.4
11991,273274.03,8666,14,1,16313,44.58
9550,2808,78,1,1,0,46.58
11703,33157.12,1024,1,1,0,36.72
8993,20760,394.85,3,2,0,686.26
83102,14182.03,672.22,21,14,414.87,920.82
1695,5639.15,94.2,161,81,4096.0884,36.21
9959,12623.87,333.34,35,27,66,41.32
9964,6023.15,375.86,21,18,0,65.04
83872,9257.43,182.69,6,6,670.364136,1646.95
6335,18858,898,1,1,0,42.15
11836,30553.5,1851.33,3,1,0,34.84
10980,3477.28,159.4,2,2,729.812,28.53
567,8077.12,347.86,72,46,6190,28.3
4840,18976.58,149.26,9,9,471.352,967.05
11839,172107.5,8005,1,1,0,39.38
11949,37059.84,405.52,1,1,0,1347.16
11356,5300.42,174.93,15,8,2156,41.96
1485,933.23,33.1,2,2,163.9,46.3
14280,5024.98,351.37,27,18,596,63.79
543,2125.78,58.25,2,2,122.656,80.45
9968,14173.85,380.93,14,10,0,67.06
1112,1669.21,57.5,4,4,479,30.35
11688,8830.5,435,1,1,0,26.05
11525,13560.3,443,2,2,0,35.35
10556,94350.34,4849.92,12,3,0,25.66
10252,1294.95,24.74,4,1,0,323.79
3263,786.3,16.45,1,1,0,266.43
2573,3678.36,42.45,6,2,0,70.62
11948,14005.53,329,1,1,0,48.28
82901,3632.94,41.37,7,6,224.09866,111.89
817,758.7,31.66,14,10,1329.876,25.47
4430,253.84,17.49,11,11,642.3144,31.08
4936,1072.11,154.61,28,19,3212.919,53.18
11903,95247.6,2415,2,1,0,65.04
10371,7152,240,1,1,0,55.26
83180,52109.71,1033.31,27,19,1882.31712,1032.05
4858,5353.98,331.3,6,6,2349.204,1264.03
10540,4586.59,148.49,8,5,549.1,27.4
1378,3486.3,33.39,4,3,0,43.23
9932,7418.64,307.33,6,4,0,42.76
3016,5044.34,243.51,20,9,725.25,27.4
10276,1655.44,62.71,16,10,845.505,80.04
11971,51799,2354.5,4,2,0,29.98
112,1912.9,314.36,6,4,3615.7968,55.57
10210,8988,275.68,10,6,2165.136,85.24
791,12180.89,461.55,72,52,15344.3952,316.46
4497,4507.2,59.39,27,19,584.5704,96.23
7833,10049.52,135.13,7,7,0,35.82
2188,2873.89,359.85,13,8,263,28.12
11968,39790,1730,1,1,0,31.81
1676,2704.27,86.7,59,37,2061.18,18.66
83832,3648.14,254.38,14,13,197.84728,905.32
83596,29548.22,116.71,19,16,33.2371,140.28
12130,12056.88,264,1,1,0,45.67
5973,3700,276.33,3,2,0,36.1
95,12656.25,101.01,31,26,0,63.69
12184,70665.56,1406,1,1,0,58.91
12125,19226.07,190.04,1,1,0,2130.94
10570,2645.85,169.37,13,8,0,27.4
12088,18455.85,567,1,1,0,56.43
10729,119207.23,3488.25,4,1,6832,47.26
806,2184.09,66.3,87,62,4488.6144,48.59
11333,178637.45,4241.25,4,1,12300,40.31
2579,1368,44.75,24,19,1145.0064,15.8
83099,8617.2,167.04,9,6,3749.878977,503.01
11919,109959.14,3453.2,5,1,12,28.31
11415,24388.35,804.5,14,12,714,40.31
4535,2819.04,47.12,7,7,18.8496,72.69
6916,478.2,9.78,3,2,0,67.2
12113,3312,72,1,1,0,53.07
4885,2150.4,189.85,17,7,2551.632,25.47
10246,28416.96,2509.5,2,1,0,37.36
10275,19274.7,815.56,9,7,0,27.84
12112,8343,309,1,1,0,50.07
1444,2677.68,100,8,4,933.8,48.8
12013,11304,157.94,1,1,0,633.17
12116,6035,355,1,1,0,32.76
8342,912,100.47,7,5,109.4016,109.51
937,11432.89,199.05,16,12,33.35365,820.07
11443,1049.53,382.56,9,8,5177,42.66
10387,7664.42,569.13,38,23,4742,33
9170,686.05,63.32,58,45,0,47.59
12108,15746.46,739.25,4,3,118,32.69
7592,4325.76,76.5,2,1,0,77.1
12099,6724.62,189,1,1,0,48.41
12505,14660.75,448.12,84,64,3840,41.32
83750,31047.63,183.54,27,23,132.73938,809.85
10272,9112.59,407.67,3,3,369,28.04
10799,8308.11,758.2,5,2,0,27.18
4309,9491.94,423.21,4,3,19806.228,1953.27
489,508.32,22.07,6,5,21.233,48.8
12289,6259.5,117,1,1,0,66.62
12346,12305.45,438,2,2,0,39.02
11551,7759.17,219,1,1,0,54.44
10913,565744.8,10212,1,1,10393,52.08
12349,7134,246,1,1,0,40.34
12288,4891.36,152.33,3,3,0,29.93
11629,102639.59,4311.5,4,1,77433,26.73
12337,50955,1290,1,1,0,67.82
12287,14890.94,416.94,17,6,975,28.5
3609,4109.53,294.33,31,28,9529.767,610.03
12266,13068,484,1,1,0,39.02
8516,10810.8,572,2,1,0,40.68
2404,896.1,2,1,1,0,802.08
10971,520.08,6,3,1,0,129.14
6606,5397.19,16.79,3,2,0,36.68
7575,6697.6,224,1,1,0,150.9
12320,6159.4,206,1,1,0,45.13
8936,4350.6,126.79,3,3,760.716,158.84
11713,1720,86,1,1,0,33.99
9600,14558.48,412.5,2,2,0,49.23
1498,11108.83,653.58,24,23,2813,48.22
10912,350144.24,6963.33,3,1,0,48.22
12397,22495.2,943,5,2,0,32.69
758,44697,1410,2,1,0,41.32
12326,6240,300,1,1,0,29.27
1329,10680.48,286.41,25,21,4429.6692,575.2
12425,4761.9,130,1,1,0,54.6
12420,2821,91,1,1,0,43.96
8292,162530.55,4072,5,2,11476,29.13
82628,3875.76,13.81,4,4,511.94432,36.83
12498,78067,2585,1,1,0,43.96
12560,195331.5,6201,2,1,0,48.22
12561,16947,538,2,1,0,48.22
8367,5011.99,297.46,26,23,3633,26.71
8296,2828.92,491.75,57,39,6908,29.3
5307,3073.02,47.35,1,1,0,57.23
12492,92535,2985,2,1,0,44.84
10789,6246.73,214.67,3,3,0,56.7
7999,726,20.72,2,1,0,264.05
2687,833.4,24.74,1,1,0,400.57
9895,4224.5,139.58,6,5,338,71.53
10502,1326,29,2,2,266,45.57
1965,2037.12,8.45,2,2,0,52.06
12227,6829.2,264,3,2,0,46.47
12546,15593.75,1352.5,6,4,1315,28
8291,150747.75,6924.33,6,1,72833,29.3
8928,16151.76,241.97,2,1,0,1281.41
12556,24500,875,1,1,0,42.42
3244,3533.94,333.56,84,45,1221,52.83
11295,27123.7,781.5,2,2,0,27.22
1489,1232.61,32.6,1,1,110.85,46.3
14140,870,29,1,1,0,64.84
14145,900,30,1,1,6,64.84
14185,3510,117,1,1,0,64.02
12214,4887.54,189,1,1,0,41.32
11209,50245.5,570,1,1,0,88.15
11210,79677,900,1,1,0,88.53
12573,38220,1365,1,1,0,28
7877,3243.79,174.44,217,84,26684.016,36.61
7406,1681.19,48.68,372,222,6840.15,55.76
2063,3286.98,109.65,151,91,3659.2296,58.76
2645,7650.87,233.54,13,9,12,46.58
7330,1484.05,54.39,277,169,4168.95,48.8
5103,4996.27,247.56,1058,411,74860.3314,31.55
6030,2567.14,65.26,1259,724,24210.5,50.01
2533,6801.78,221.93,451,273,18296.8752,219.74
3181,2327.66,117.58,172,82,7281.882,25.47
1029,1564.14,253.03,56,36,7900.6428,38.27
4901,3634.73,159.33,73,27,2405.592,26.35
6836,3247.85,301.78,45,35,10,42.42
1863,3610,86.58,302,175,2639.3928,55.81
7865,4378.72,108.38,143,58,0,11.95
5077,2823.55,129.7,418,203,9855.7872,12.6
509,4686.02,165.44,77,27,1382,29.11
1413,5398.9,244.81,130,55,2534,28.62
6070,2758.58,87.32,1778,952,52816.85,46.3
896,3087.06,110.17,508,305,15638.8374,31.09
9080,4325.09,135.21,550,332,3178.2,47.59
7779,3422.48,87.49,54,39,20.55,48.8
8630,8710.83,509.76,21,16,985,29.91
1123,2990.84,56.56,22,9,2535.7536,62.12
2183,7516.18,181.82,312,139,5230.764,43.16
10755,6555.86,123.51,17,14,3.8,27.4
1815,2377.41,89.88,715,381,16225.677,33.84
11368,14151.16,469.75,37,14,11720.9,44.7
11372,16751.33,586.07,85,48,3938.1,41.1
1953,2961.12,88.85,369,235,21496.5174,98.3
1643,2469.49,56.97,372,229,4529.9712,78.77
11663,4139.03,148.67,3,2,0,41
10565,501378.33,9499.4,5,2,0,52.08
7835,6819.75,250.07,89,60,1291.3,48.8
3409,224242.2,7424.86,7,1,19216,27.37
82615,2288.61,12.58,108,59,0,21.07
10428,1512.76,36.11,113,70,2042.142,62.93
1978,2132.65,115.25,40,28,1141.2882,182.12
4170,1783.62,101.28,58,35,614.9682,99.95
1225,2163.39,111.56,134,87,10033.326,53.19
2153,5885.82,174.54,589,325,9403.884,116.95
914,2083.84,59.94,21,7,906.336,89.33
6190,5483.86,135.22,570,363,471.2,46.3
9889,6639.14,191.46,70,51,187.95,61.06
9885,3915.49,67.48,17,11,2555.45,61.06
1599,2993.84,131.7,333,165,5999.25,32
7082,400.95,24.21,80,63,2.5,62.93
10134,23549.58,941.23,31,22,288,26.73
1223,3556.94,59.92,106,61,1913.3472,31.5
5748,6187.35,239.21,38,20,6226.7,83.91
5111,6008.42,244.69,473,234,18704.7336,42.53
1289,13963.67,407.41,113,74,34,42.97
1683,1345.3,70.39,145,99,5367.444,29.3
11867,117137.03,4248.5,16,1,13481,27.75
10381,3259.92,105.57,19,14,2553.45,54.95
2830,7750.38,221.26,132,79,0,758.28
83501,3746.99,18.16,106,46,2.16204,30.13
82634,4605.4,23.65,70,43,832.7196,47
8441,1246.79,76.64,21,12,1539.1038,21.67
8447,5176.21,185.42,108,55,5141.598,45.21
1847,4598.13,196.8,235,90,2282.148,28.77
4192,2017.11,66.95,140,83,3094.65,48.8
4800,6066.84,93.67,15,13,1042.5072,551.84
82996,6231.92,164.26,53,39,0,266.82
8741,9832.3,708.67,153,57,5435.5,28
8393,4798.48,204.89,75,44,2671,27.12
133,4945.68,125.37,157,75,1817.7108,79.19
1233,4189.25,99.09,69,25,1650.3798,10.44
